"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"GSPC.Open",1,6006,1959.60836399725,1046.46815764399,1455.14501953125,1800.14660753749,618.006933325195,679.280029296875,4804.509765625,4125.22973632812,1.13383275716019,0.130551654751322,13.5030959620343
"GSPC.High",2,6006,1971.22136744888,1051.80670527914,1463.29498291016,1810.28026429366,617.473219042969,695.27001953125,4818.6201171875,4123.35009765625,1.13741482030333,0.134215239212807,13.571981881294
"GSPC.Low",3,6006,1947.09830695631,1040.82499724391,1444.07000732422,1789.16944974787,615.03440357666,666.789978027344,4780.0400390625,4113.25006103516,1.13021702612711,0.126796475721971,13.4302794736827
"GSPC.Close",4,6006,1959.85524618407,1046.65043747091,1455.05999755859,1800.34153724064,617.384266662598,676.530029296875,4796.56005859375,4120.03002929688,1.13372661223711,0.130064553933986,13.5054480087516
"GSPC.Volume",5,6006,3323534522.14452,1510849034.12568,3440075000,3247572505.20183,1347431358,0,11456230000,11456230000,0.49272178533549,0.69514179397362,19495231.9790378
"GSPC.Adjusted",6,6006,1959.85524618407,1046.65043747091,1455.05999755859,1800.34153724064,617.384266662598,676.530029296875,4796.56005859375,4120.03002929688,1.13372661223711,0.130064553933986,13.5054480087516
